date,revenue,to_date
03/06/2022,"$4,484","$108,139,692"
03/07/2022,"$1,710","$108,141,402"
03/08/2022,"$2,601","$108,144,003"
03/09/2022,"$1,701","$108,145,704"
03/10/2022,"$1,635","$108,147,339"
03/11/2022,"$7,058","$108,154,397"
03/12/2022,"$11,022","$108,165,419"
03/13/2022,"$7,465","$108,172,884"
03/14/2022,"$4,463","$108,177,347"
03/15/2022,"$3,713","$108,181,060"
03/16/2022,"$4,689","$108,185,749"
03/17/2022,"$2,911","$108,188,660"
03/18/2022,"$6,025","$108,194,685"
03/19/2022,"$23,207","$108,217,892"
03/20/2022,"$8,788","$108,226,680"
03/21/2022,"$5,658","$108,232,338"
03/22/2022,"$4,441","$108,236,779"
03/23/2022,"$4,014","$108,240,793"
03/24/2022,"$20,318","$108,261,111"
03/25/2022,"$5,275","$108,266,386"
03/26/2022,"$30,698","$108,297,084"
03/27/2022,"$5,180","$108,302,264"
03/28/2022,"$1,933","$108,304,197"
03/29/2022,"$5,197","$108,309,394"
03/30/2022,"$2,828","$108,312,222"
03/31/2022,"$2,988","$108,315,210"
04/01/2022,"$2,338","$108,317,548"
04/02/2022,"$3,109","$108,320,657"
04/03/2022,"$2,291","$108,322,948"
04/04/2022,"$1,187","$108,324,135"
04/05/2022,"$1,322","$108,325,457"
04/06/2022,$825,"$108,326,282"
04/07/2022,"$1,548","$108,327,830"
