date,revenue,to_date,,,,,,,,,,,,
09/04/2023,"$9,956","$10,829,593",,,,,,,,,,,,
09/05/2023,"$5,078","$10,834,671",,,,,,,,,,,,
09/06/2023,"$4,877","$10,839,548",,,,,,,,,,,,
09/07/2023,"$3,912","$10,843,460",,,,,,,,,,,,
09/08/2023,"$6,984","$10,850,444",,,,,,,,,,,,
09/09/2023,"$11,217","$10,861,661",,,,,,,,,,,,
09/10/2023,"$10,956","$10,872,617",,,,,,,,,,,,
09/11/2023,"$3,128","$10,875,745",,,,,,,,,,,,
09/12/2023,"$3,965","$10,879,710",,,,,,,,,,,,
09/13/2023,"$5,054","$10,884,764",,,,,,,,,,,,
09/14/2023,"$3,871","$10,888,635",,,,,,,,,,,,
09/15/2023,"$6,818","$10,895,453",,,,,,,,,,,,
09/16/2023,"$7,023","$10,902,476",,,,,,,,,,,,
09/17/2023,"$8,589","$10,911,065",,,,,,,,,,,,
09/18/2023,"$2,826","$10,913,891",,,,,,,,,,,,
09/19/2023,"$3,516","$10,917,407",,,,,,,,,,,,
09/20/2023,"$3,002","$10,920,409",,,,,,,,,,,,
09/21/2023,"$3,160","$10,923,569",,,,,,,,,,,,
09/22/2023,"$4,372","$10,927,941",,,,,,,,,,,,
09/23/2023,"$8,879","$10,936,820",,,,,,,,,,,,
09/24/2023,"$9,062","$10,945,882",,,,,,,,,,,,
09/25/2023,"$2,531","$10,948,413",,,,,,,,,,,,
09/26/2023,"$3,420","$10,951,833",,,,,,,,,,,,
09/27/2023,"$2,988","$10,954,821",,,,,,,,,,,,
09/28/2023,"$2,692","$10,957,513",,,,,,,,,,,,
09/29/2023,"$2,649","$10,960,162",,,,,,,,,,,,
09/30/2023,"$5,956","$10,966,118",,,,,,,,,,,,
10/01/2023,"$3,338","$10,969,456",,,,,,,,,,,,
10/02/2023,"$2,339","$10,971,795",,,,,,,,,,,,
10/03/2023,"$1,713","$10,973,508",,,,,,,,,,,,
10/04/2023,"$1,627","$10,975,135",,,,,,,,,,,,
10/05/2023,"$1,742","$10,976,877",,,,,,,,,,,,
10/06/2023,"$1,930","$10,978,807",,,,,,,,,,,,
10/07/2023,"$3,961","$10,982,768",,,,,,,,,,,,
10/08/2023,"$2,254","$10,985,022",,,,,,,,,,,,
10/09/2023,"$1,318","$10,986,340",,,,,,,,,,,,
10/10/2023,"$2,561","$10,988,901",,,,,,,,,,,,
10/11/2023,$665,"$10,989,566",,,,,,,,,,,,
10/12/2023,$719,"$10,990,285",,,,,,,,,,,,
